품목번호,관세율구분,관세율,단위당세액,기준가격,적용국가구분,용도세율구분,적용개시일,적용만료일,관세율구분값,국가,결정세번,결정세번 다름,이름,대분류,소분류
2812190000,A,5,,,1,,20230101,20231231,기본세율,all,2812190000,,"삼염화붕소 〔Boron trichloride, BCl3 〕",재료 및 부분품,재료 및 부분품
2812190000,A,5,,,1,,20230101,20231231,기본세율,all,2812101090,1,"삼불화염소 〔Chlorine trifluoride, CLF3 〕",재료 및 부분품,재료 및 부분품
2812902000,A,8,,,1,,20230101,20231231,기본세율,all,2812902000,,"육불화유황 〔Sulfur hexafluoride, SF6 〕",재료 및 부분품,재료 및 부분품
2812909000,A,8,,,1,,20230101,20231231,기본세율,all,2812909000,,"사불화규소 〔Silicon tetrafluoride, SiF4 〕",재료 및 부분품,재료 및 부분품
2812909000,A,8,,,1,,20230101,20231231,기본세율,all,2812909000,,"삼불화질소 〔Nitrogen trifluoride, NF3 〕",재료 및 부분품,재료 및 부분품
2814100000,A,1,,,1,,20230101,20231231,기본세율,all,2814100000,,"무수 암모니아 〔Anhydrous ammonia, NH3 〕",재료 및 부분품,재료 및 부분품
2843301000,A,8,,,1,,20230101,20231231,기본세율,all,2843301000,,도금액 〔GOLD PLATING Solution PGC POWDER〕,재료 및 부분품,재료 및 부분품
2923900000,A,8,,,1,,20230101,20231231,기본세율,all,2923900000,,현상제 〔Developer ; CPD-18〕,재료 및 부분품,재료 및 부분품
2923900000,A,8,,,1,,20230101,20231231,기본세율,all,2923900000,,현상제 〔Developer ; TCMSVT0141〕,재료 및 부분품,재료 및 부분품
3208201030,A,8,,,1,,20230101,20231231,기본세율,all,3208201030,,웨이퍼코팅제 〔Solution based on acrylic polymer〕,재료 및 부분품,재료 및 부분품
3405400000,A,8,,,1,,20230101,20231231,기본세율,all,3405400000,,연마제 〔SLURRY〕,재료 및 부분품,재료 및 부분품
3701991000,A,0,,,1,,20230101,20231231,기본세율,all,3701991000,,블랭크마스크 〔BLANK MASK〕,재료 및 부분품,재료 및 부분품
3707901010,A,0,,,1,,20230101,20231231,기본세율,all,3707901010,,감광액 〔PHOTORESIST ; SEPR-146 5CP〕,재료 및 부분품,재료 및 부분품
3707902090,A,0,,,1,,20230101,20231231,기본세율,all,3707902990,1,현상제 〔Developer ; CPD-18T〕,재료 및 부분품,재료 및 부분품
3707902090,A,0,,,1,,20230101,20231231,기본세율,all,3707902990,1,현상제 〔Developer ; CPD-1000T〕,재료 및 부분품,재료 및 부분품
3814002110,A,8,,,1,,20230101,20231231,기본세율,all,3814002110,,스트리퍼 〔STRIPPER ; BMS-851W〕,재료 및 부분품,재료 및 부분품
3818001000,A,8,,,1,,20230101,20231231,기본세율,all,3818001000,,실리콘 웨이퍼 〔SOI (Silicon On Insulator) Wafer〕,재료 및 부분품,재료 및 부분품
3824997100,A,8,,,1,,20230101,20231231,기본세율,all,3824907100,,"도금액 〔GOLD PLATING ECF-11SA MAKEUP SOL, Au〕",재료 및 부분품,재료 및 부분품
3824997100,A,8,,,1,,20230101,20231231,기본세율,all,3824907100,1,도금액 〔GOLD PLATING ECF-11SA REPLENISHER〕,재료 및 부분품,재료 및 부분품
3919900000,A,8,,,1,,20230101,20231231,기본세율,all,3919900000,,보호테이프 〔TAPE-POLY ; N/UV BT-180E-BLK〕,재료 및 부분품,재료 및 부분품
3923100000,A,8,,,1,,20230101,20231231,기본세율,all,3923100000,,"웨이퍼 케이스 〔CASE, CONTACTLESS JAR〕",재료 및 부분품,재료 및 부분품
3926901000,A,8,,,1,,20230101,20231231,기본세율,all,3926901000,,오링 〔O-Ring ; 11400009〕,재료 및 부분품,재료 및 부분품
3926901000,A,8,,,1,,20230101,20231231,기본세율,all,3926901000,,오링 〔O-Ring〕,재료 및 부분품,재료 및 부분품
3926909000,A,8,,,1,,20230101,20231231,기본세율,all,3926909000,,패드 인서트 〔Pad Insert ; EA8350N〕,재료 및 부분품,재료 및 부분품
6804229000,A,8,,,1,,20230101,20231231,기본세율,all,6804220000,1,연마제 〔ABRASIVE〕,재료 및 부분품,재료 및 부분품
6804229000,A,8,,,1,,20230101,20231231,기본세율,all,6804220000,1,"드레서 〔Dresser ; BVDS0183, WA4000NV21〕",재료 및 부분품,재료 및 부분품
6815191000,A,8,,,1,,20230101,20231231,기본세율,all,6815101000,1,포지션 디스크 〔Position Disk ; 8 INCH TCSD-15-342A〕,재료 및 부분품,재료 및 부분품
6815990000,A,8,,,1,,20230101,20231231,기본세율,all,6815990000,,나노패턴용 웨이퍼 〔SILICON MASTER ; 6″SILICON WAFER〕,재료 및 부분품,재료 및 부분품
7006009000,A,8,,,1,,20230101,20231231,기본세율,all,7006009000,,글라스 웨이퍼 〔GLASS WAFER ; SG7.8_300X0.8T〕,재료 및 부분품,재료 및 부분품
7020001019,A,8,,,1,,20230101,20231231,기본세율,all,7020001019,,석영배관 〔Tube Flexible ; Z-AL0793-100-3〕,재료 및 부분품,재료 및 부분품
7020001019,A,8,,,1,,20230101,20231231,기본세율,all,7020001019,,승온관 〔Tube Heater ; I00030ZH〕,재료 및 부분품,재료 및 부분품
7115901090,A,8,,,1,,20230101,20231231,기본세율,all,7115901090,,실버 타겟 〔Silver Target ; 99.99% Ag Sputtering Target〕,재료 및 부분품,재료 및 부분품
7326909000,A,8,,,1,,20230101,20231231,기본세율,all,7326909000,,모노블록 인젝터 〔MONOBLOCK INJECTOR ; 914235-0040〕,재료 및 부분품,재료 및 부분품
7407100000,A,8,,,1,,20230101,20231231,기본세율,all,7407100000,,동 프로파일 〔Copper profile〕,재료 및 부분품,재료 및 부분품
7419809000,A,8,,,1,,20230101,20231231,기본세율,all,7419990000,1,구리 타겟 〔Copper Target〕,재료 및 부분품,재료 및 부분품
7616999090,A,8,,,1,,20230101,20231231,기본세율,all,7616999090,,알루미늄 타겟 〔Aluminum Target〕,재료 및 부분품,재료 및 부분품
8103990000,A,8,,,1,,20230101,20231231,기본세율,all,8103900000,1,탄탈륨 타겟 〔Tantalum Target〕,재료 및 부분품,재료 및 부분품
8103990000,A,8,,,1,,20230101,20231231,기본세율,all,8103900000,1,웨넬트 플레이트 〔Wehnelt Plate ; BK202702〕,재료 및 부분품,재료 및 부분품
8108909000,A,8,,,1,,20230101,20231231,기본세율,all,8108909000,,티타늄 타겟 〔Titanium Target〕,재료 및 부분품,재료 및 부분품
8202392010,A,8,,,1,,20230101,20231231,기본세율,all,8202392010,,블레이드 〔BLADE ; ZH05-SD3500-N1-50-N3150〕,재료 및 부분품,재료 및 부분품
