품목번호,관세율구분,관세율,단위당세액,기준가격,적용국가구분,용도세율구분,적용개시일,적용만료일,관세율구분값,국가
2812190000,A,5,,,1,,20240101,20241231,기본세율,all
2812902000,A,8,,,1,,20240101,20241231,기본세율,all
2812909000,A,8,,,1,,20240101,20241231,기본세율,all
2814100000,A,1,,,1,,20240101,20241231,기본세율,all
2843301000,A,8,,,1,,20240101,20241231,기본세율,all
2923900000,A,8,,,1,,20240101,20241231,기본세율,all
3208201030,A,8,,,1,,20240101,20241231,기본세율,all
3405400000,A,8,,,1,,20240101,20241231,기본세율,all
3701991000,A,0,,,1,,20240101,20241231,기본세율,all
3707901010,A,0,,,1,,20240101,20241231,기본세율,all
3707902090,A,0,,,1,,20240101,20241231,기본세율,all
3814002110,A,8,,,1,,20240101,20241231,기본세율,all
3818001000,A,8,,,1,,20240101,20241231,기본세율,all
3824997100,A,8,,,1,,20240101,20241231,기본세율,all
3919900000,A,8,,,1,,20240101,20241231,기본세율,all
3923100000,A,8,,,1,,20240101,20241231,기본세율,all
3926901000,A,8,,,1,,20240101,20241231,기본세율,all
3926909000,A,8,,,1,,20240101,20241231,기본세율,all
6804229000,A,8,,,1,,20240101,20241231,기본세율,all
6815191000,A,8,,,1,,20240101,20241231,기본세율,all
6815990000,A,8,,,1,,20240101,20241231,기본세율,all
7006009000,A,8,,,1,,20240101,20241231,기본세율,all
7020001019,A,8,,,1,,20240101,20241231,기본세율,all
7115901090,A,8,,,1,,20240101,20241231,기본세율,all
7326909000,A,8,,,1,,20240101,20241231,기본세율,all
7407100000,A,8,,,1,,20240101,20241231,기본세율,all
7419809000,A,8,,,1,,20240101,20241231,기본세율,all
7616999090,A,8,,,1,,20240101,20241231,기본세율,all
8103990000,A,8,,,1,,20240101,20241231,기본세율,all
8108909000,A,8,,,1,,20240101,20241231,기본세율,all
8202392010,A,8,,,1,,20240101,20241231,기본세율,all
8414599000,A,8,,,1,,20240101,20241231,기본세율,all
8421219020,A,3,,,1,C,20240101,20241231,기본세율,all
8421399029,A,8,,,1,,20240101,20241231,기본세율,all
8421399091,A,8,,,1,,20240101,20241231,기본세율,all
8424891000,A,8,,,1,,20240101,20241231,기본세율,all
8424899000,A,8,,,1,,20240101,20241231,기본세율,all
8456900000,A,8,,,1,,20240101,20241231,기본세율,all
8479899050,A,8,,,1,,20240101,20241231,기본세율,all
8479899099,A,8,,,1,,20240101,20241231,기본세율,all
8481100000,A,8,,,1,,20240101,20241231,기본세율,all
8481202000,A,8,,,1,,20240101,20241231,기본세율,all
8481300000,A,8,,,1,,20240101,20241231,기본세율,all
8481801010,A,8,,,1,,20240101,20241231,기본세율,all
8481801030,A,8,,,1,,20240101,20241231,기본세율,all
8483409050,A,8,,,1,,20240101,20241231,기본세율,all
8486102000,A,0,,,1,,20240101,20241231,기본세율,all
8486103010,A,0,,,1,,20240101,20241231,기본세율,all
8486103090,A,0,,,1,,20240101,20241231,기본세율,all
8486104010,A,0,,,1,,20240101,20241231,기본세율,all
8486105010,A,0,,,1,,20240101,20241231,기본세율,all
8486109000,A,0,,,1,,20240101,20241231,기본세율,all
8486202100,A,0,,,1,,20240101,20241231,기본세율,all
8486202300,A,0,,,1,,20240101,20241231,기본세율,all
8486203000,A,0,,,1,,20240101,20241231,기본세율,all
8486204000,A,0,,,1,,20240101,20241231,기본세율,all
8486206020,A,0,,,1,,20240101,20241231,기본세율,all
8486206091,A,0,,,1,,20240101,20241231,기본세율,all
8486206099,A,0,,,1,,20240101,20241231,기본세율,all
8486207000,A,0,,,1,,20240101,20241231,기본세율,all
8486208410,A,0,,,1,,20240101,20241231,기본세율,all
8486209100,A,0,,,1,,20240101,20241231,기본세율,all
8486209200,A,0,,,1,,20240101,20241231,기본세율,all
8486209310,A,0,,,1,,20240101,20241231,기본세율,all
8486209320,A,0,,,1,,20240101,20241231,기본세율,all
8486209500,A,0,,,1,,20240101,20241231,기본세율,all
8486209900,A,0,,,1,,20240101,20241231,기본세율,all
8486401010,A,0,,,1,,20240101,20241231,기본세율,all
8486401030,A,0,,,1,,20240101,20241231,기본세율,all
8486401040,A,0,,,1,,20240101,20241231,기본세율,all
8486401090,A,0,,,1,,20240101,20241231,기본세율,all
8486402010,A,0,,,1,,20240101,20241231,기본세율,all
8486402031,A,0,,,1,,20240101,20241231,기본세율,all
8486402040,A,0,,,1,,20240101,20241231,기본세율,all
8486402070,A,0,,,1,,20240101,20241231,기본세율,all
8486402091,A,0,,,1,,20240101,20241231,기본세율,all
8486402099,A,0,,,1,,20240101,20241231,기본세율,all
8486403010,A,0,,,1,,20240101,20241231,기본세율,all
8486403090,A,0,,,1,,20240101,20241231,기본세율,all
8486902030,A,0,,,1,,20240101,20241231,기본세율,all
8486902040,A,0,,,1,,20240101,20241231,기본세율,all
8486902090,A,0,,,1,,20240101,20241231,기본세율,all
8486904000,A,0,,,1,,20240101,20241231,기본세율,all
8501311090,A,8,,,1,,20240101,20241231,기본세율,all
8501510000,A,8,,,1,,20240101,20241231,기본세율,all
8504409011,A,8,,,1,,20240101,20241231,기본세율,all
8516800000,A,8,,,1,,20240101,20241231,기본세율,all
8523512090,A,0,,,1,,20240101,20241231,기본세율,all
8534002000,A,0,,,1,,20240101,20241231,기본세율,all
8536691000,A,8,,,1,,20240101,20241231,기본세율,all
8537105090,A,8,,,1,,20240101,20241231,기본세율,all
8539491010,A,3,,,1,A,20240101,20241231,기본세율,all
8543709090,A,8,,,1,,20240101,20241231,기본세율,all
8544200000,A,8,,,1,,20240101,20241231,기본세율,all
8545190000,A,5,,,1,,20240101,20241231,기본세율,all
8545909000,A,8,,,1,,20240101,20241231,기본세율,all
8549211000,A,0,,,1,,20240101,20241231,기본세율,all
8716809000,A,8,,,1,,20240101,20241231,기본세율,all
9002909010,A,0,,,1,,20240101,20241231,기본세율,all
9002909090,A,0,,,1,,20240101,20241231,기본세율,all
9011809000,A,8,,,1,,20240101,20241231,기본세율,all
9012101010,A,8,,,1,,20240101,20241231,기본세율,all
9012101090,A,8,,,1,,20240101,20241231,기본세율,all
9013200000,A,8,,,1,,20240101,20241231,기본세율,all
9013809000,A,8,,,1,,20240101,20241231,기본세율,all
9022192000,A,8,,,1,,20240101,20241231,기본세율,all
9025191000,A,8,,,1,,20240101,20241231,기본세율,all
9026101000,A,8,,,1,,20240101,20241231,기본세율,all
9026204000,A,8,,,1,,20240101,20241231,기본세율,all
9026209000,A,8,,,1,,20240101,20241231,기본세율,all
9027100000,A,8,,,1,,20240101,20241231,기본세율,all
9027509000,A,8,,,1,,20240101,20241231,기본세율,all
9027892090,A,8,,,1,,20240101,20241231,기본세율,all
9028201090,A,8,,,1,,20240101,20241231,기본세율,all
9029109000,A,8,,,1,,20240101,20241231,기본세율,all
9030310000,A,8,,,1,,20240101,20241231,기본세율,all
9030331000,A,8,,,1,,20240101,20241231,기본세율,all
9030820000,A,8,,,1,,20240101,20241231,기본세율,all
9030890000,A,8,,,1,,20240101,20241231,기본세율,all
9030901000,A,8,,,1,,20240101,20241231,기본세율,all
9030909000,A,8,,,1,,20240101,20241231,기본세율,all
9031419000,A,8,,,1,,20240101,20241231,기본세율,all
9031499000,A,8,,,1,,20240101,20241231,기본세율,all
9031809070,A,8,,,1,,20240101,20241231,기본세율,all
9031901010,A,8,,,1,,20240101,20241231,기본세율,all
9032894091,A,3,,,1,C,20240101,20241231,기본세율,all
9403209000,A,8,,,1,,20240101,20241231,기본세율,all
2812190000,C,5.5,,,1,,20240101,20241231,WTO협정세율,all
2812902000,C,5.5,,,1,,20240101,20241231,WTO협정세율,all
2812909000,C,5.5,,,1,,20240101,20241231,WTO협정세율,all
2814100000,C,5,,,1,,20240101,20241231,WTO협정세율,all
2843301000,C,5.5,,,1,,20240101,20241231,WTO협정세율,all
2923900000,C,6.5,,,1,,20240101,20241231,WTO협정세율,all
3208201030,C,6.5,,,1,,20240101,20241231,WTO협정세율,all
3405400000,C,6.5,,,1,,20240101,20241231,WTO협정세율,all
3701991000,C,0,,,1,,20240101,20241231,WTO협정세율,all
3707901010,C,0,,,1,,20240101,20241231,WTO협정세율,all
3707902090,C,0,,,1,,20240101,20241231,WTO협정세율,all
3814002110,C,6.5,,,1,,20240101,20241231,WTO협정세율,all
3818001000,C,0,,,1,,20240101,20241231,WTO협정세율,all
3824997100,C,6.5,,,1,,20240101,20241231,WTO협정세율,all
3919900000,C,6.5,,,1,,20240101,20241231,WTO협정세율,all
3923100000,C,6.5,,,1,,20240101,20241231,WTO협정세율,all
3926901000,C,6.5,,,1,,20240101,20241231,WTO협정세율,all
3926909000,C,6.5,,,1,,20240101,20241231,WTO협정세율,all
6804229000,C,13,,,1,,20240101,20241231,WTO협정세율,all
7006009000,C,13,,,1,,20240101,20241231,WTO협정세율,all
7020001019,C,13,,,1,,20240101,20241231,WTO협정세율,all
7115901090,C,13,,,1,,20240101,20241231,WTO협정세율,all
7326909000,C,13,,,1,,20240101,20241231,WTO협정세율,all
7407100000,C,13,,,1,,20240101,20241231,WTO협정세율,all
7419809000,C,13,,,1,,20240101,20241231,WTO협정세율,all
7616999090,C,13,,,1,,20240101,20241231,WTO협정세율,all
8103990000,C,10,,,1,,20240101,20241231,WTO협정세율,all
8108909000,C,10,,,1,,20240101,20241231,WTO협정세율,all
8202392010,C,13,,,1,,20240101,20241231,WTO협정세율,all
8414599000,C,13,,,1,,20240101,20241231,WTO협정세율,all
8421219020,C,13,,,1,,20240101,20241231,WTO협정세율,all
8421399029,C,0,,,1,C,20240101,20241231,WTO협정세율,all
8421399091,C,0,,,1,,20240101,20241231,WTO협정세율,all
8424891000,C,0,,,1,C,20240101,20241231,WTO협정세율,all
8456900000,C,13,,,1,,20240101,20241231,WTO협정세율,all
8479899099,C,13,,,1,,20240101,20241231,WTO협정세율,all
8481100000,C,13,,,1,,20240101,20241231,WTO협정세율,all
8481202000,C,13,,,1,,20240101,20241231,WTO협정세율,all
8481300000,C,13,,,1,,20240101,20241231,WTO협정세율,all
8481801010,C,13,,,1,,20240101,20241231,WTO협정세율,all
8481801030,C,13,,,1,,20240101,20241231,WTO협정세율,all
8483409050,C,13,,,1,,20240101,20241231,WTO협정세율,all
8486102000,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486103010,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486103090,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486104010,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486105010,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486109000,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486202100,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486202300,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486203000,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486204000,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486206020,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486206091,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486206099,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486207000,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486208410,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486209100,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486209200,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486209310,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486209320,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486209500,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486209900,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486401010,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486401030,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486401040,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486401090,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486402010,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486402031,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486402040,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486402070,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486402091,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486402099,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486403010,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486403090,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486902030,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486902040,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486902090,C,0,,,1,,20240101,20241231,WTO협정세율,all
8486904000,C,0,,,1,,20240101,20241231,WTO협정세율,all
8504409011,C,0,,,1,,20240101,20241231,WTO협정세율,all
8516800000,C,13,,,1,,20240101,20241231,WTO협정세율,all
8523512090,C,0,,,1,,20240101,20241231,WTO협정세율,all
8534002000,C,0,,,1,,20240101,20241231,WTO협정세율,all
8536691000,C,0,,,1,C,20240101,20241231,WTO협정세율,all
8539491010,C,13,,,1,,20240101,20241231,WTO협정세율,all
8543709090,C,13,,,1,,20240101,20241231,WTO협정세율,all
8545190000,C,13,,,1,,20240101,20241231,WTO협정세율,all
8545909000,C,13,,,1,,20240101,20241231,WTO협정세율,all
8549211000,C,6.5,,,1,,20240101,20241231,WTO협정세율,all
8716809000,C,13,,,1,,20240101,20241231,WTO협정세율,all
9002909010,C,0,,,1,,20240101,20241231,WTO협정세율,all
9002909090,C,0,,,1,,20240101,20241231,WTO협정세율,all
9011809000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9012101010,C,0,,,1,,20240101,20241231,WTO협정세율,all
9012101090,C,0,,,1,,20240101,20241231,WTO협정세율,all
9013200000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9013809000,C,13,,,1,,20240101,20241231,WTO협정세율,all
9022192000,C,0,,,1,,20240101,20241231,WTO협정세율,all
9025191000,C,0,,,1,,20240101,20241231,WTO협정세율,all
